Chromosome	Ploidy	Ploidy_rounded	Mean_coverage
contig00001	1.0216346141836323	1	93.5
contig00002	1.0528846147509534	1	96.36000005528331
contig00003	1.0834790194627368	1	99.15999997779727
contig00004	1.1859702797003009	1	108.5400001257658
contig00005	1.069274474708728	1	97.86000004038215
contig00006	1.0122377618684315	1	92.64000007510185
contig00007	1.247596151928534	1	114.17999995872378
contig00008	1.0399912560093678	1	95.17999986186624
contig00009	1.1038024455580082	1	101.01999993622303
contig00010	1.1503496477078325	1	105.2799998819828
contig00011	1.0018575151593543	1	91.68999989517033
contig00012	0.7307692306721658	1	66.88000006973743
contig00013	0.9545454516665252	1	87.35999983921647
contig00014	1.4536713258536698	1	133.0399998985231
contig00015	1.0963723762097943	1	100.33999998867512
contig00016	1.0670891565335225	1	97.65999972075224
contig00017	1.0314685292220898	1	94.39999990537763
contig00018	0.9031905608634256	1	82.66000022739172
contig00019	0.7980769221289742	1	73.03999999910593
contig00020	1.1735139834377442	1	107.39999989047647
contig00021	1.0681818176767104	1	97.76000006869435
contig00022	1.1090472010050059	1	101.49999995529652
contig00023	1.0203234259935097	1	93.38000005669892
contig00024	1.0858828662520061	1	99.38000003620982
contig00025	0.9672202776014671	1	88.519999910146
contig00026	1.2893356640818294	1	118.000000115484
contig00027	1.1149475510660491	1	102.039999993518
contig00028	1.187937061690376	1	108.72000001370907
contig00029	0.8730332164326194	1	79.90000006183982
contig00030	1.2410402068871031	1	113.5799998678267
contig00031	0.788680068918271	1	72.1799999922514
contig00032	1.1044580399074737	1	101.07999993115664
contig00033	0.8774038435430729	1	80.29999985545874
contig00034	1.066433565827124	1	97.60000005923212
contig00035	1.0725524434032054	1	98.1599997356534
contig00036	1.3315122357427138	1	121.85999995842576
contig00037	0.9600087407749642	1	87.8600000590086
contig00038	1.0275349627996602	1	94.03999990597367
contig00039	1.0340909092454018	1	94.64000012539327
contig00040	0.9554195805932868	1	87.44000011868775
contig00041	0.9604458025213092	1	87.89999995008111
contig00042	1.0263330398324244	1	93.92999991588295
contig00043	1.0122377607287012	1	92.63999997079372
contig00044	1.0585664340609382	1	96.8800001591444
contig00045	1.2607080407495512	1	115.38000002503395
contig00046	0.9573863610569372	1	87.61999986693263
contig00047	1.3255026202756128	1	121.30999995023012
contig00048	1.0814029704384178	1	98.96999997086823
contig00049	1.182255243845759	1	108.20000004395843
contig00050	0.9831730757721918	1	89.98000000044703
contig00051	0.9809877615453383	1	89.78000004217029
contig00052	0.7014860133567641	1	64.2000000178814
contig00053	1.1420454541138927	1	104.520000083372
contig00054	1.1252185323080117	1	102.98000019788742
contig00055	0.8524912585890254	1	78.02000007778406
contig00056	0.6864073421386251	1	62.820000026375055
contig00057	0.894012237976382	1	81.82000011578202
contig00058	0.8651660835470556	1	79.18000005930662
contig00059	0.8883304178930087	1	81.29999994114041
contig00060	1.0009833919108924	1	91.61000013537705
contig00061	0.7215909090876712	1	66.04000007733703
contig00062	0.892919576833194	1	81.71999976783991
contig00063	0.8994755235435159	1	82.3200000114739
contig00064	0.9851398593904532	1	90.16000003740191
contig00065	0.8779501738704389	1	80.35000000707805
contig00066	0.7869318167633996	1	72.01999995484948
contig00067	0.9069055931766624	1	82.99999998509884
contig00068	1.1082823405982083	1	101.4299999307841
contig00069	1.2049825151224658	1	110.27999991364777
contig00070	0.9715909096778887	1	88.92000015825033
contig00071	1.0321241249962183	1	94.46000003069639
contig00072	0.7202797202869788	1	65.92000007815659
contig00073	0.8212412563528133	1	75.15999986976385
contig00074	1.0267701032680128	1	93.969999961555
contig00075	1.0332167826795102	1	94.56000006198883
contig00076	1.2787368868252171	1	117.03000001981854
contig00077	1.0548513960083448	1	96.53999987617135
contig00078	1.206293705144298	1	110.40000002458692
contig00079	0.9519230762224872	1	87.12000003829598
contig00080	0.8243006975729573	1	75.43999993056059
contig00081	0.8366477273100784	1	76.57000009343028
contig00082	0.9451485987000499	1	86.49999985471368
contig00083	1.102928319012469	1	100.93999987468123
contig00084	1.1678321659187643	1	106.87999995052814
contig00085	0.8481206284257227	1	77.62000000476837
contig00086	0.840034963221971	1	76.87999992445111
contig00087	0.947333914941784	1	86.6999999973923
contig00088	0.8402534958250915	1	76.9000000283122
contig00089	0.93924824971768	1	85.95999991521239
contig00090	1.2164554177034776	1	111.32999995909631
contig00091	1.0041520954231877	1	91.89999988116324
contig00092	0.8194930070879727	1	75.00000009685755
contig00093	0.7419143350608286	1	67.90000002458692
contig00094	0.6532998246616494	1	59.79000002332032
contig00095	1.0714597897293223	1	98.06000007130206
contig00096	0.6126529723896973	1	56.070000099018216
contig00097	0.9784746504286846	1	89.55000011250377
contig00098	1.473339157925113	1	134.83999989181757
contig00099	1.0319055917418232	1	94.43999986723065
contig00100	0.8251748243220199	1	75.52000001072884
contig00101	1.0789991233642158	1	98.74999988637865
contig00102	0.9484265699589208	1	86.79999978467822
contig00103	1.1944930051443252	1	109.31999995931983
contig00104	0.9302884601664406	1	85.13999997451901
contig00105	0.8697552445631785	1	79.60000007599592
contig00106	0.8481206296061577	1	77.62000011280179
contig00107	0.8264860124917901	1	75.63999995216727
contig00108	0.8922639841526196	1	81.6599999256432
contig00109	1.410620628318873	1	129.10000005550683
contig00110	0.8842875863494539	1	80.92999999783933
contig00111	0.8763111879357184	1	80.2000000141561
contig00112	0.7902097879612137	1	72.31999987922609
contig00113	0.7553540197947343	1	69.12999997287989
contig00114	1.004916957600638	1	91.97000006772578
contig00115	1.2537150337989569	1	114.7400000281632
contig00116	0.7362325174807918	1	67.38000007905066
